subject,period,grain,metric_zh,value,unit,verification_status,official_value,official_unit,verification_count,verification_method,official_source_url,verification_note
3HK / Hutchison,H1 2021,half_year,现金及等价物,5106,millions HKD,official_only,5106,millions HKD,3,official_interim_report_multi_section_check,https://www.hthkh.com/en/ir/reports/ir2021/ir2021.pdf,官方报告披露该口径，但标准化在线表未提供同名字段；作为官方独有口径补入。
3HK / Hutchison,H2 2021,half_year,现金及等价物,"1,414",millions HKD,official_match,1414,millions HKD,5,official_full_year_minus_h1_reconciliation,https://www.hthkh.com/en/ir/reports/ar2021/ar2021.pdf,标准化表与官方值一致，差异 0.000。
3HK / Hutchison,H1 2022,half_year,现金及等价物,560,millions HKD,official_match,560,millions HKD,3,official_interim_report_multi_section_check,https://www.hthkh.com/en/ir/reports/ir2022/ir2022.pdf,标准化表与官方值一致，差异 0.000。
3HK / Hutchison,H2 2022,half_year,现金及等价物,"3,087",millions HKD,official_match,3087,millions HKD,5,official_full_year_minus_h1_reconciliation,https://www.hthkh.com/en/ir/reports/ar2022/ar2022.pdf,标准化表与官方值一致，差异 0.000。
3HK / Hutchison,H1 2023,half_year,现金及等价物,814,millions HKD,official_match,814,millions HKD,3,official_interim_balance_sheet_and_cash_flow_check,https://www.hthkh.com/en/ir/reports/ir2023/ir2023.pdf,标准化表与官方值一致，差异 0.000。
3HK / Hutchison,H2 2023,half_year,现金及等价物,"1,910",millions HKD,official_match,1910,millions HKD,2,official_annual_balance_sheet_and_cash_flow_check,https://www.hthkh.com/en/ir/reports/ar2023/financialposition.pdf,标准化表与官方值一致，差异 0.000。
3HK / Hutchison,H1 2024,half_year,现金及等价物,844,millions HKD,official_match,844,millions HKD,3,official_interim_balance_sheet_and_cash_flow_check,https://www.hthkh.com/en/ir/reports/ir2024/ir2024.pdf,标准化表与官方值一致，差异 0.000。
3HK / Hutchison,H2 2024,half_year,现金及等价物,"3,168",millions HKD,official_match,3168,millions HKD,2,official_annual_balance_sheet_and_cash_flow_check,https://www.hthkh.com/en/ir/reports/ar2024/financialposition.pdf,标准化表与官方值一致，差异 0.000。
3HK / Hutchison,H1 2025,half_year,现金及等价物,635,millions HKD,official_match,635,millions HKD,2,official_interim_balance_sheet_and_cash_flow_check,https://www.hthkh.com/en/ir/reports/ir2025/financialposition.pdf,标准化表与官方值一致，差异 0.000。
3HK / Hutchison,H2 2025,half_year,现金及等价物,594,millions HKD,official_match,594,millions HKD,2,official_annual_balance_sheet_check,https://www.hthkh.com/en/ir/reports/ar2025/financialposition.pdf,标准化表与官方值一致，差异 0.000。
3HK / Hutchison,H1 2026,half_year,现金及等价物,355,millions HKD,needs_official_row_crosscheck,,,0,,,
3HK / Hutchison,H1 2016,half_year,EBITDA,665,millions HKD,official_only,665,millions HKD,3,official_interim_or_annual_minus_interim_reconciliation,https://www.hthkh.com/en/ir/reports/ir2016/ir2016.pdf,官方报告披露该口径，但标准化在线表未提供同名字段；作为官方独有口径补入。
3HK / Hutchison,H2 2016,half_year,EBITDA,668,millions HKD,official_only,668,millions HKD,3,official_interim_or_annual_minus_interim_reconciliation,https://www.hthkh.com/en/ir/reports/ir2016/ir2016.pdf,官方报告披露该口径，但标准化在线表未提供同名字段；作为官方独有口径补入。
3HK / Hutchison,H1 2017,half_year,EBITDA,647,millions HKD,official_only,647,millions HKD,3,official_interim_or_annual_minus_interim_reconciliation,https://www.hthkh.com/en/ir/reports/ir2017/ir2017.pdf,官方报告披露该口径，但标准化在线表未提供同名字段；作为官方独有口径补入。
3HK / Hutchison,H2 2017,half_year,EBITDA,692,millions HKD,official_only,692,millions HKD,3,official_interim_or_annual_minus_interim_reconciliation,https://www.hthkh.com/en/ir/reports/ir2017/ir2017.pdf,官方报告披露该口径，但标准化在线表未提供同名字段；作为官方独有口径补入。
3HK / Hutchison,H1 2018,half_year,EBITDA,601,millions HKD,official_only,601,millions HKD,3,official_interim_or_annual_minus_interim_reconciliation,https://www.hthkh.com/en/ir/reports/ir2018/ir2018.pdf,官方报告披露该口径，但标准化在线表未提供同名字段；作为官方独有口径补入。
3HK / Hutchison,H2 2018,half_year,EBITDA,556,millions HKD,official_only,556,millions HKD,3,official_interim_or_annual_minus_interim_reconciliation,https://www.hthkh.com/en/ir/reports/ir2018/ir2018.pdf,官方报告披露该口径，但标准化在线表未提供同名字段；作为官方独有口径补入。
3HK / Hutchison,H1 2019,half_year,EBITDA,787,millions HKD,official_only,787,millions HKD,3,official_interim_or_annual_minus_interim_reconciliation,https://www.hthkh.com/en/ir/reports/ir2019/ir2019.pdf,官方报告披露该口径，但标准化在线表未提供同名字段；作为官方独有口径补入。
3HK / Hutchison,H2 2019,half_year,EBITDA,875,millions HKD,official_only,875,millions HKD,3,official_interim_or_annual_minus_interim_reconciliation,https://www.hthkh.com/en/ir/reports/ir2019/ir2019.pdf,官方报告披露该口径，但标准化在线表未提供同名字段；作为官方独有口径补入。
3HK / Hutchison,H1 2020,half_year,EBITDA,778,millions HKD,official_only,778,millions HKD,3,official_interim_or_annual_minus_interim_reconciliation,https://www.hthkh.com/en/ir/reports/ir2020/ir2020.pdf,官方报告披露该口径，但标准化在线表未提供同名字段；作为官方独有口径补入。
3HK / Hutchison,H2 2020,half_year,EBITDA,894,millions HKD,official_only,894,millions HKD,3,official_interim_or_annual_minus_interim_reconciliation,https://www.hthkh.com/en/ir/reports/ir2020/ir2020.pdf,官方报告披露该口径，但标准化在线表未提供同名字段；作为官方独有口径补入。
3HK / Hutchison,H1 2021,half_year,EBITDA,718,millions HKD,official_only,718,millions HKD,3,official_interim_report_multi_section_check,https://www.hthkh.com/en/ir/reports/ir2021/ir2021.pdf,官方报告披露该口径，但标准化在线表未提供同名字段；作为官方独有口径补入。
3HK / Hutchison,H2 2021,half_year,EBITDA,702,millions HKD,official_only,702,millions HKD,5,official_full_year_minus_h1_reconciliation,https://www.hthkh.com/en/ir/reports/ar2021/ar2021.pdf,官方报告披露该口径，但标准化在线表未提供同名字段；作为官方独有口径补入。
3HK / Hutchison,H1 2022,half_year,EBITDA,667,millions HKD,official_only,667,millions HKD,3,official_interim_report_multi_section_check,https://www.hthkh.com/en/ir/reports/ir2022/ir2022.pdf,官方报告披露该口径，但标准化在线表未提供同名字段；作为官方独有口径补入。
3HK / Hutchison,H2 2022,half_year,EBITDA,695,millions HKD,official_only,695,millions HKD,5,official_full_year_minus_h1_reconciliation,https://www.hthkh.com/en/ir/reports/ar2022/ar2022.pdf,官方报告披露该口径，但标准化在线表未提供同名字段；作为官方独有口径补入。
3HK / Hutchison,H1 2023,half_year,EBITDA,696,millions HKD,official_only,696,millions HKD,3,official_interim_reconciliation_table_check,https://www.hthkh.com/en/ir/reports/ir2023/ir2023.pdf,官方报告披露该口径，但标准化在线表未提供同名字段；作为官方独有口径补入。
3HK / Hutchison,H2 2023,half_year,EBITDA,699,millions HKD,official_only,699,millions HKD,5,official_full_year_minus_h1_reconciliation_same_scope,https://www.hthkh.com/en/ir/reports/ar2023/analysis.pdf,官方报告披露该口径，但标准化在线表未提供同名字段；作为官方独有口径补入。
3HK / Hutchison,H1 2024,half_year,EBITDA,700,millions HKD,official_only,700,millions HKD,3,official_interim_reconciliation_table_check,https://www.hthkh.com/en/ir/reports/ir2024/ir2024.pdf,官方报告披露该口径，但标准化在线表未提供同名字段；作为官方独有口径补入。
3HK / Hutchison,H2 2024,half_year,EBITDA,769,millions HKD,official_only,769,millions HKD,5,official_full_year_minus_h1_reconciliation_same_scope,https://www.hthkh.com/en/ir/reports/ar2024/analysis.pdf,官方报告披露该口径，但标准化在线表未提供同名字段；作为官方独有口径补入。
3HK / Hutchison,H1 2025,half_year,EBITDA,771,millions HKD,official_only,771,millions HKD,2,official_interim_report_multi_section_check,https://www.hthkh.com/en/ir/reports/ir2025/analysis.pdf,官方报告披露该口径，但标准化在线表未提供同名字段；作为官方独有口径补入。
3HK / Hutchison,H2 2025,half_year,EBITDA,737,millions HKD,official_only,737,millions HKD,5,official_full_year_minus_h1_reconciliation,https://www.hthkh.com/en/ir/reports/ar2025/analysis.pdf,官方报告披露该口径，但标准化在线表未提供同名字段；作为官方独有口径补入。
3HK / Hutchison,H1 2021,half_year,自由现金流,826,millions HKD,official_only,826,millions HKD,3,official_interim_report_multi_section_check,https://www.hthkh.com/en/ir/reports/ir2021/ir2021.pdf,官方报告披露该口径，但标准化在线表未提供同名字段；作为官方独有口径补入。
3HK / Hutchison,H2 2021,half_year,自由现金流,1676,millions HKD,official_only,1676,millions HKD,5,official_full_year_minus_h1_reconciliation,https://www.hthkh.com/en/ir/reports/ar2021/ar2021.pdf,官方报告披露该口径，但标准化在线表未提供同名字段；作为官方独有口径补入。
3HK / Hutchison,H1 2022,half_year,自由现金流,392,millions HKD,official_only,392,millions HKD,3,official_interim_report_multi_section_check,https://www.hthkh.com/en/ir/reports/ir2022/ir2022.pdf,官方报告披露该口径，但标准化在线表未提供同名字段；作为官方独有口径补入。
3HK / Hutchison,H2 2022,half_year,自由现金流,241,millions HKD,official_only,241,millions HKD,5,official_full_year_minus_h1_reconciliation,https://www.hthkh.com/en/ir/reports/ar2022/ar2022.pdf,官方报告披露该口径，但标准化在线表未提供同名字段；作为官方独有口径补入。
3HK / Hutchison,H1 2023,half_year,自由现金流,450,millions HKD,official_only,450,millions HKD,3,official_operating_cash_flow_minus_capex,https://www.hthkh.com/en/ir/reports/ir2023/ir2023.pdf,官方报告披露该口径，但标准化在线表未提供同名字段；作为官方独有口径补入。
3HK / Hutchison,H2 2023,half_year,自由现金流,196,millions HKD,official_only,196,millions HKD,5,official_operating_cash_flow_minus_capex,https://www.hthkh.com/en/ir/reports/ar2023/cashflows.pdf,官方报告披露该口径，但标准化在线表未提供同名字段；作为官方独有口径补入。
3HK / Hutchison,H1 2024,half_year,自由现金流,363,millions HKD,official_only,363,millions HKD,3,official_operating_cash_flow_minus_capex,https://www.hthkh.com/en/ir/reports/ir2024/ir2024.pdf,官方报告披露该口径，但标准化在线表未提供同名字段；作为官方独有口径补入。
3HK / Hutchison,H2 2024,half_year,自由现金流,284,millions HKD,official_only,284,millions HKD,5,official_operating_cash_flow_minus_capex,https://www.hthkh.com/en/ir/reports/ar2024/cashflows.pdf,官方报告披露该口径，但标准化在线表未提供同名字段；作为官方独有口径补入。
3HK / Hutchison,H1 2025,half_year,自由现金流,494,millions HKD,official_only,494,millions HKD,2,official_operating_cash_flow_minus_capex,https://www.hthkh.com/en/ir/reports/ir2025/cashflows.pdf,官方报告披露该口径，但标准化在线表未提供同名字段；作为官方独有口径补入。
3HK / Hutchison,H2 2025,half_year,自由现金流,284,millions HKD,official_only,284,millions HKD,5,official_operating_cash_flow_minus_capex,https://www.hthkh.com/en/ir/reports/ar2025/cashflows.pdf,官方报告披露该口径，但标准化在线表未提供同名字段；作为官方独有口径补入。
3HK / Hutchison,H1 2021,half_year,毛利,1437,millions HKD,official_only,1437,millions HKD,3,official_interim_report_multi_section_check,https://www.hthkh.com/en/ir/reports/ir2021/ir2021.pdf,官方报告披露该口径，但标准化在线表未提供同名字段；作为官方独有口径补入。
3HK / Hutchison,H2 2021,half_year,毛利,1442,millions HKD,official_only,1442,millions HKD,5,official_full_year_minus_h1_reconciliation,https://www.hthkh.com/en/ir/reports/ar2021/ar2021.pdf,官方报告披露该口径，但标准化在线表未提供同名字段；作为官方独有口径补入。
3HK / Hutchison,H1 2022,half_year,毛利,1390,millions HKD,official_only,1390,millions HKD,3,official_interim_report_multi_section_check,https://www.hthkh.com/en/ir/reports/ir2022/ir2022.pdf,官方报告披露该口径，但标准化在线表未提供同名字段；作为官方独有口径补入。
3HK / Hutchison,H2 2022,half_year,毛利,1470,millions HKD,official_only,1470,millions HKD,5,official_full_year_minus_h1_reconciliation,https://www.hthkh.com/en/ir/reports/ar2022/ar2022.pdf,官方报告披露该口径，但标准化在线表未提供同名字段；作为官方独有口径补入。
3HK / Hutchison,H1 2023,half_year,毛利,1528,millions HKD,official_only,1528,millions HKD,2,official_total_margin_reconciliation,https://www.hthkh.com/en/ir/reports/ir2023/analysis.pdf,官方报告披露该口径，但标准化在线表未提供同名字段；作为官方独有口径补入。
3HK / Hutchison,H2 2023,half_year,毛利,1543,millions HKD,official_only,1543,millions HKD,5,official_full_year_minus_h1_total_margin_reconciliation,https://www.hthkh.com/en/ir/reports/ar2023/analysis.pdf,官方报告披露该口径，但标准化在线表未提供同名字段；作为官方独有口径补入。
3HK / Hutchison,H1 2024,half_year,毛利,1523,millions HKD,official_only,1523,millions HKD,2,official_total_margin_reconciliation,https://www.hthkh.com/en/ir/reports/ir2024/analysis.pdf,官方报告披露该口径，但标准化在线表未提供同名字段；作为官方独有口径补入。
3HK / Hutchison,H2 2024,half_year,毛利,1548,millions HKD,official_only,1548,millions HKD,5,official_full_year_minus_h1_total_margin_reconciliation,https://www.hthkh.com/en/ir/reports/ar2024/analysis.pdf,官方报告披露该口径，但标准化在线表未提供同名字段；作为官方独有口径补入。
3HK / Hutchison,H1 2025,half_year,毛利,1525,millions HKD,official_only,1525,millions HKD,2,official_total_margin_reconciliation,https://www.hthkh.com/en/ir/reports/ir2025/analysis.pdf,官方报告披露该口径，但标准化在线表未提供同名字段；作为官方独有口径补入。
3HK / Hutchison,H2 2025,half_year,毛利,1389,millions HKD,official_only,1389,millions HKD,5,official_full_year_minus_h1_total_margin_reconciliation,https://www.hthkh.com/en/ir/reports/ar2025/analysis.pdf,官方报告披露该口径，但标准化在线表未提供同名字段；作为官方独有口径补入。
3HK / Hutchison,H1 2018,half_year,净利润/股东应占利润,198,millions HKD,official_only,198,millions HKD,3,official_interim_or_annual_minus_interim_reconciliation,https://www.hthkh.com/en/ir/reports/ir2018/ir2018.pdf,官方报告披露该口径，但标准化在线表未提供同名字段；作为官方独有口径补入。
3HK / Hutchison,H2 2018,half_year,净利润/股东应占利润,206,millions HKD,official_only,206,millions HKD,3,official_interim_or_annual_minus_interim_reconciliation,https://www.hthkh.com/en/ir/reports/ir2018/ir2018.pdf,官方报告披露该口径，但标准化在线表未提供同名字段；作为官方独有口径补入。
3HK / Hutchison,H1 2019,half_year,净利润/股东应占利润,188,millions HKD,official_only,188,millions HKD,3,official_interim_or_annual_minus_interim_reconciliation,https://www.hthkh.com/en/ir/reports/ir2019/ir2019.pdf,官方报告披露该口径，但标准化在线表未提供同名字段；作为官方独有口径补入。
3HK / Hutchison,H2 2019,half_year,净利润/股东应占利润,241,millions HKD,official_only,241,millions HKD,3,official_interim_or_annual_minus_interim_reconciliation,https://www.hthkh.com/en/ir/reports/ir2019/ir2019.pdf,官方报告披露该口径，但标准化在线表未提供同名字段；作为官方独有口径补入。
3HK / Hutchison,H1 2020,half_year,净利润/股东应占利润,146,millions HKD,official_only,146,millions HKD,3,official_interim_or_annual_minus_interim_reconciliation,https://www.hthkh.com/en/ir/reports/ir2020/ir2020.pdf,官方报告披露该口径，但标准化在线表未提供同名字段；作为官方独有口径补入。
3HK / Hutchison,H2 2020,half_year,净利润/股东应占利润,215,millions HKD,official_only,215,millions HKD,3,official_interim_or_annual_minus_interim_reconciliation,https://www.hthkh.com/en/ir/reports/ir2020/ir2020.pdf,官方报告披露该口径，但标准化在线表未提供同名字段；作为官方独有口径补入。
3HK / Hutchison,H1 2021,half_year,净利润/股东应占利润,31,millions HKD,official_only,31,millions HKD,3,official_interim_report_multi_section_check,https://www.hthkh.com/en/ir/reports/ir2021/ir2021.pdf,官方报告披露该口径，但标准化在线表未提供同名字段；作为官方独有口径补入。
3HK / Hutchison,H2 2021,half_year,净利润/股东应占利润,-27,millions HKD,official_match,-27,millions HKD,5,official_full_year_minus_h1_reconciliation,https://www.hthkh.com/en/ir/reports/ar2021/ar2021.pdf,标准化表与官方值一致，差异 0.000。
3HK / Hutchison,H1 2022,half_year,净利润/股东应占利润,-96,millions HKD,official_match,-96,millions HKD,3,official_interim_report_multi_section_check,https://www.hthkh.com/en/ir/reports/ir2022/ir2022.pdf,标准化表与官方值一致，差异 0.000。
3HK / Hutchison,H2 2022,half_year,净利润/股东应占利润,-62,millions HKD,official_match,-62,millions HKD,5,official_full_year_minus_h1_reconciliation,https://www.hthkh.com/en/ir/reports/ar2022/ar2022.pdf,标准化表与官方值一致，差异 0.000。
3HK / Hutchison,H1 2023,half_year,净利润/股东应占利润,-19,millions HKD,official_match,-19,millions HKD,3,official_interim_report_multi_section_check,https://www.hthkh.com/en/ir/reports/ir2023/ir2023.pdf,标准化表与官方值一致，差异 0.000。
3HK / Hutchison,H2 2023,half_year,净利润/股东应占利润,-33,millions HKD,official_match,-33,millions HKD,5,official_full_year_minus_h1_reconciliation,https://www.hthkh.com/en/ir/reports/ar2023/highlights.pdf,标准化表与官方值一致，差异 0.000。
3HK / Hutchison,H1 2024,half_year,净利润/股东应占利润,-12,millions HKD,official_match,-12,millions HKD,3,official_interim_report_multi_section_check,https://www.hthkh.com/en/ir/reports/ir2024/ir2024.pdf,标准化表与官方值一致，差异 0.000。
3HK / Hutchison,H2 2024,half_year,净利润/股东应占利润,-,millions HKD,official_conflict,18,millions HKD,5,official_full_year_minus_h1_reconciliation,https://www.hthkh.com/en/ir/reports/ar2024/highlights.pdf,标准化表数值为空或无法解析，采用官方值。
3HK / Hutchison,H1 2025,half_year,净利润/股东应占利润,6,millions HKD,official_match,6,millions HKD,2,official_interim_report_multi_section_check,https://www.hthkh.com/en/ir/reports/ir2025/analysis.pdf,标准化表与官方值一致，差异 0.000。
3HK / Hutchison,H2 2025,half_year,净利润/股东应占利润,-,millions HKD,official_conflict,-31,millions HKD,5,official_full_year_minus_h1_reconciliation_group_attributable,https://www.hthkh.com/en/ir/reports/ar2025/highlights.pdf,标准化表数值为空或无法解析，采用官方值。
3HK / Hutchison,H1 2026,half_year,净利润/股东应占利润,11,millions HKD,needs_official_row_crosscheck,,,0,,,
3HK / Hutchison,H1 2021,half_year,经营现金流,1150,millions HKD,official_only,1150,millions HKD,3,official_interim_report_multi_section_check,https://www.hthkh.com/en/ir/reports/ir2021/ir2021.pdf,官方报告披露该口径，但标准化在线表未提供同名字段；作为官方独有口径补入。
3HK / Hutchison,H2 2021,half_year,经营现金流,"2,226",millions HKD,official_match,2226,millions HKD,5,official_full_year_minus_h1_reconciliation,https://www.hthkh.com/en/ir/reports/ar2021/ar2021.pdf,标准化表与官方值一致，差异 0.000。
3HK / Hutchison,H1 2022,half_year,经营现金流,549,millions HKD,official_match,549,millions HKD,3,official_interim_report_multi_section_check,https://www.hthkh.com/en/ir/reports/ir2022/ir2022.pdf,标准化表与官方值一致，差异 0.000。
3HK / Hutchison,H2 2022,half_year,经营现金流,580,millions HKD,official_match,580,millions HKD,5,official_full_year_minus_h1_reconciliation,https://www.hthkh.com/en/ir/reports/ar2022/ar2022.pdf,标准化表与官方值一致，差异 0.000。
3HK / Hutchison,H1 2023,half_year,经营现金流,613,millions HKD,official_match,613,millions HKD,2,official_interim_cash_flow_check,https://www.hthkh.com/en/ir/reports/ir2023/ir2023.pdf,标准化表与官方值一致，差异 0.000。
3HK / Hutchison,H2 2023,half_year,经营现金流,514,millions HKD,official_match,514,millions HKD,5,official_full_year_minus_h1_cash_flow_reconciliation,https://www.hthkh.com/en/ir/reports/ar2023/cashflows.pdf,标准化表与官方值一致，差异 0.000。
3HK / Hutchison,H1 2024,half_year,经营现金流,529,millions HKD,official_match,529,millions HKD,2,official_interim_cash_flow_check,https://www.hthkh.com/en/ir/reports/ir2024/ir2024.pdf,标准化表与官方值一致，差异 0.000。
3HK / Hutchison,H2 2024,half_year,经营现金流,-,millions HKD,official_conflict,552,millions HKD,5,official_full_year_minus_h1_cash_flow_reconciliation,https://www.hthkh.com/en/ir/reports/ar2024/cashflows.pdf,标准化表数值为空或无法解析，采用官方值。
3HK / Hutchison,H1 2025,half_year,经营现金流,668,millions HKD,official_match,668,millions HKD,2,official_interim_cash_flow_check,https://www.hthkh.com/en/ir/reports/ir2025/cashflows.pdf,标准化表与官方值一致，差异 0.000。
3HK / Hutchison,H2 2025,half_year,经营现金流,-,millions HKD,official_conflict,543,millions HKD,5,official_full_year_minus_h1_cash_flow_reconciliation,https://www.hthkh.com/en/ir/reports/ar2025/cashflows.pdf,标准化表数值为空或无法解析，采用官方值。
3HK / Hutchison,H1 2026,half_year,经营现金流,758,millions HKD,needs_official_row_crosscheck,,,0,,,
3HK / Hutchison,H1 2021,half_year,经营利润/营业利润,86,millions HKD,official_only,86,millions HKD,3,official_interim_report_multi_section_check,https://www.hthkh.com/en/ir/reports/ir2021/ir2021.pdf,官方报告披露该口径，但标准化在线表未提供同名字段；作为官方独有口径补入。
3HK / Hutchison,H2 2021,half_year,经营利润/营业利润,34,millions HKD,official_only,34,millions HKD,5,official_full_year_minus_h1_reconciliation,https://www.hthkh.com/en/ir/reports/ar2021/ar2021.pdf,官方报告披露该口径，但标准化在线表未提供同名字段；作为官方独有口径补入。
3HK / Hutchison,H1 2022,half_year,经营利润/营业利润,-48,millions HKD,official_only,-48,millions HKD,3,official_interim_report_multi_section_check,https://www.hthkh.com/en/ir/reports/ir2022/ir2022.pdf,官方报告披露该口径，但标准化在线表未提供同名字段；作为官方独有口径补入。
3HK / Hutchison,H2 2022,half_year,经营利润/营业利润,-46,millions HKD,official_only,-46,millions HKD,5,official_full_year_minus_h1_reconciliation,https://www.hthkh.com/en/ir/reports/ar2022/ar2022.pdf,官方报告披露该口径，但标准化在线表未提供同名字段；作为官方独有口径补入。
3HK / Hutchison,H1 2023,half_year,经营利润/营业利润,-43,millions HKD,official_only,-43,millions HKD,3,official_interim_reconciliation_table_check,https://www.hthkh.com/en/ir/reports/ir2023/ir2023.pdf,官方报告披露该口径，但标准化在线表未提供同名字段；作为官方独有口径补入。
3HK / Hutchison,H2 2023,half_year,经营利润/营业利润,-43,millions HKD,official_only,-43,millions HKD,5,official_full_year_minus_h1_reconciliation_same_scope,https://www.hthkh.com/en/ir/reports/ar2023/analysis.pdf,官方报告披露该口径，但标准化在线表未提供同名字段；作为官方独有口径补入。
3HK / Hutchison,H1 2024,half_year,经营利润/营业利润,-37,millions HKD,official_only,-37,millions HKD,3,official_interim_reconciliation_table_check,https://www.hthkh.com/en/ir/reports/ir2024/ir2024.pdf,官方报告披露该口径，但标准化在线表未提供同名字段；作为官方独有口径补入。
3HK / Hutchison,H2 2024,half_year,经营利润/营业利润,15,millions HKD,official_only,15,millions HKD,5,official_full_year_minus_h1_reconciliation_same_scope,https://www.hthkh.com/en/ir/reports/ar2024/analysis.pdf,官方报告披露该口径，但标准化在线表未提供同名字段；作为官方独有口径补入。
3HK / Hutchison,H1 2025,half_year,经营利润/营业利润,6,millions HKD,official_only,6,millions HKD,2,official_interim_report_multi_section_check,https://www.hthkh.com/en/ir/reports/ir2025/analysis.pdf,官方报告披露该口径，但标准化在线表未提供同名字段；作为官方独有口径补入。
3HK / Hutchison,H2 2025,half_year,经营利润/营业利润,12,millions HKD,official_only,12,millions HKD,5,official_full_year_minus_h1_reconciliation,https://www.hthkh.com/en/ir/reports/ar2025/analysis.pdf,官方报告披露该口径，但标准化在线表未提供同名字段；作为官方独有口径补入。
3HK / Hutchison,H1 2021,half_year,经营利润率,3.353,percent,official_only,3.353,percent,3,official_interim_report_multi_section_check,https://www.hthkh.com/en/ir/reports/ir2021/ir2021.pdf,官方报告披露该口径，但标准化在线表未提供同名字段；作为官方独有口径补入。
3HK / Hutchison,H2 2021,half_year,经营利润率,1.206,percent,official_only,1.206,percent,5,official_full_year_minus_h1_reconciliation,https://www.hthkh.com/en/ir/reports/ar2021/ar2021.pdf,官方报告披露该口径，但标准化在线表未提供同名字段；作为官方独有口径补入。
3HK / Hutchison,H1 2022,half_year,经营利润率,-2.089,percent,official_only,-2.089,percent,3,official_interim_report_multi_section_check,https://www.hthkh.com/en/ir/reports/ir2022/ir2022.pdf,官方报告披露该口径，但标准化在线表未提供同名字段；作为官方独有口径补入。
3HK / Hutchison,H2 2022,half_year,经营利润率,-1.78,percent,official_only,-1.78,percent,5,official_full_year_minus_h1_reconciliation,https://www.hthkh.com/en/ir/reports/ar2022/ar2022.pdf,官方报告披露该口径，但标准化在线表未提供同名字段；作为官方独有口径补入。
3HK / Hutchison,H1 2023,half_year,经营利润率,-1.847,percent,official_only,-1.847,percent,3,official_operating_income_divided_by_revenue_reconciliation,https://www.hthkh.com/en/ir/reports/ir2023/ir2023.pdf,官方报告披露该口径，但标准化在线表未提供同名字段；作为官方独有口径补入。
3HK / Hutchison,H2 2023,half_year,经营利润率,-1.674,percent,official_only,-1.674,percent,5,official_operating_income_divided_by_revenue_reconciliation,https://www.hthkh.com/en/ir/reports/ar2023/analysis.pdf,官方报告披露该口径，但标准化在线表未提供同名字段；作为官方独有口径补入。
3HK / Hutchison,H1 2024,half_year,经营利润率,-1.798,percent,official_only,-1.798,percent,3,official_operating_income_divided_by_revenue_reconciliation,https://www.hthkh.com/en/ir/reports/ir2024/ir2024.pdf,官方报告披露该口径，但标准化在线表未提供同名字段；作为官方独有口径补入。
