row	status	entities	source_urls	extracted_fields	missing_fields	result_file
18	ok	iCable	"【iCable】
- https://www.i-cablecomm.com/en-newsroom/i-cable-communications-limited-appoints-new-chief-executive-officer
- https://www.i-cablecomm.com/annual-interim-reports?lang=en
- https://financialreports.eu/filings/i-cable-communications-limited/annual-report/2025/24023514/
- https://www.i-cablebroadband-offer.com/"	宽带套餐,电讯业务战略合作		/Users/liaowang/Desktop/揭榜挂帅需求/cmhk_public_crawl_20260521/results/row_18.json
19	ok	Singtel,Telstra,SK Telecom,KT,NTT Docomo,KDDI,SoftBank,Jio,Airtel	"【Singtel】
- https://www.singtel.com/about-us/media-centre/news-releases/singtel-posts-fy26-net-profit
- https://www.singtel.com/about-us/media-centre/news-releases/singtel-partners-ericsson-to-accelerate-industry-transformation-with-5g-advanced
【Telstra】
- https://www.telstra.com.au/aboutus/media
【SK Telecom】
- https://news.sktelecom.com/en/category/press-center/press-release
- https://news.sktelecom.com/en/2787
- https://www.jio.com/
【KT】
- https://corp.kt.com/eng/
- https://news.sktelecom.com/en/category/press-center/press-release
- https://news.sktelecom.com/en/2787
- https://www.jio.com/
【NTT Docomo】
- https://www.docomo.ne.jp/english/info/media_center/pr/2026/0225_02.html
- https://www.docomo.ne.jp/english/info/media_center/pr/2026/0303_00.html
- https://news.sktelecom.com/en/category/press-center/press-release
- https://news.sktelecom.com/en/2787
【KDDI】
- https://newsroom.kddi.com/english/news/detail/kddi_nr-560_3842.html
【SoftBank】
- https://www.softbank.jp/en/corp/news/press/sbkk/2026/20260416_02/
- https://www.softbank.jp/en/corp/news/press/sbkk/2026/20260302_03/
【Jio】
- https://www.airtel.in/press-release/03-2026/airtel-announces-us1-billion-investment-in-nxtra-led-by-alpha-wave-global-and-existing-investor-carlyle-bharti-airtel-will-also-participate/
- https://www.airtel.in/press-release
- https://www.jio.com/
【Airtel】
- https://www.airtel.in/press-release/03-2026/airtel-announces-us1-billion-investment-in-nxtra-led-by-alpha-wave-global-and-existing-investor-carlyle-bharti-airtel-will-also-participate/
- https://www.airtel.in/press-release"	AI,5G-A,云,企业ICT,Capex方向,Singtel,Telstra,SK Telecom,KT,NTT Docomo,KDDI,SoftBank,Jio,Airtel		/Users/liaowang/Desktop/揭榜挂帅需求/cmhk_public_crawl_20260521/results/row_19.json
20	partial	Vodafone,Deutsche Telekom,Orange,Telefonica,BT/EE,TIM,Verizon,AT&T,T-Mobile US	"【Vodafone】
- https://www.telefonica.com/en/communication-room/press-room/
- https://www.verizon.com/business/solutions/network-apis/
- https://www.telekom.com/en/media/media-information
- https://www.gruppotim.it/en/press-archive.html
- https://newsroom.bt.com/bt-group-and-ericsson-strengthen-partnership-to-unlock-smarter-more-reliable-5g-services-for-uk-businesses/
【Deutsche Telekom】
- https://www.telekom.com/en/media/media-information
【Orange】
- https://www.telefonica.com/en/communication-room/press-room/
- https://www.verizon.com/business/solutions/network-apis/
- https://www.telekom.com/en/media/media-information
- https://www.gruppotim.it/en/press-archive.html
- https://newsroom.bt.com/bt-group-and-ericsson-strengthen-partnership-to-unlock-smarter-more-reliable-5g-services-for-uk-businesses/
【Telefonica】
- https://www.telefonica.com/en/communication-room/press-room/
【BT/EE】
- https://newsroom.bt.com/bt-group-and-ericsson-strengthen-partnership-to-unlock-smarter-more-reliable-5g-services-for-uk-businesses/
- https://www.bt.com/about/bt/our-company/group-businesses/networks
【TIM】
- https://www.verizon.com/business/solutions/network-apis/
- https://www.telekom.com/en/media/media-information
- https://www.gruppotim.it/en/press-archive.html
- https://newsroom.bt.com/bt-group-and-ericsson-strengthen-partnership-to-unlock-smarter-more-reliable-5g-services-for-uk-businesses/
- https://www.verizon.com/5g/home/
【Verizon】
- https://www.verizon.com/business/solutions/network-apis/
- https://www.verizon.com/5g/home/
【AT&T】
- https://www.telefonica.com/en/communication-room/press-room/
- https://www.verizon.com/business/solutions/network-apis/
- https://www.telekom.com/en/media/media-information
- https://www.gruppotim.it/en/press-archive.html
- https://newsroom.bt.com/bt-group-and-ericsson-strengthen-partnership-to-unlock-smarter-more-reliable-5g-services-for-uk-businesses/
【T-Mobile US】
- https://www.telekom.com/en/media/media-information"	网络API,Open RAN,边缘计算,FWA,AI网络,Deutsche Telekom,Telefonica,BT/EE,TIM,Verizon,T-Mobile US	Vodafone,Orange,AT&T,Vodafone:Vodafone,Orange,AT&T,Deutsche Telekom:Vodafone,Orange,AT&T,Orange:Vodafone,Orange,AT&T,Telefonica:Vodafone,Orange,AT&T,BT/EE:Vodafone,Orange,AT&T,TIM:Vodafone,Orange,AT&T,Verizon:Vodafone,Orange,AT&T,AT&T:Vodafone,Orange,AT&T,T-Mobile US:Vodafone,Orange,AT&T	/Users/liaowang/Desktop/揭榜挂帅需求/cmhk_public_crawl_20260521/results/row_20.json
21	ok	e&,stc,中国移动,中国电信,中国联通	"【e&】
- https://www.eand.com/en/news/22-jan-2026-eand-enterprise-and-emergence-partnership.html
- https://www.eand.com/en/news/16-mar-26-eand-khalifa-uni-launch-white-paper.html
- https://www.eand.com/en/news/28-04-26-eand-financial-results-q1-2026.html
- https://www.eand.com/en/news/10-feb-26-eand-cw-services-and-ses.html
- https://www.eand.com/en/news/news-overview.html
【stc】
- https://www.eand.com/en/news/news-overview.html
【中国移动】
- https://www.gsma.com/about-us/regions/greater-china/wp-content/uploads/2025/04/Mobile-Economy-Report-2025-China-EN.pdf
- https://www.chinaunicom.com.hk/en/ir/reports/ar2025.pdf
【中国电信】
- https://www.chinatelecom-h.com/en/ir/reports.php
- https://en.c114.com.cn/576/a1307257.html
【中国联通】
- https://en.c114.com.cn/576/a1307257.html"	AI,算力网络,云,DICT,5G-A,资本开支,e&,stc,中国移动,中国电信,中国联通		/Users/liaowang/Desktop/揭榜挂帅需求/cmhk_public_crawl_20260521/results/row_21.json
22	ok	政治资讯（和25行可能存在重合，请Alex考虑是否合并）	"【政治资讯（和25行可能存在重合，请Alex考虑是否合并）】
- https://www.policyaddress.gov.hk/2024/en/index.html
- https://www.policyaddress.gov.hk/2025/en/index.html
- https://www.digitalpolicy.gov.hk/en/
- https://www.itib.gov.hk/en/index.html"	施政报告,战略规划,区域发展,重大投资		/Users/liaowang/Desktop/揭榜挂帅需求/cmhk_public_crawl_20260521/results/row_22.json
23	ok	经济资讯（和30行可能存在重合，请Alex考虑是否合并）	"【经济资讯（和30行可能存在重合，请Alex考虑是否合并）】
- https://www.censtatd.gov.hk/en/scode200.html
- https://www.censtatd.gov.hk/en/scode460.html
- https://data.gov.hk/en-data/dataset/hk-censtatd-commonidds-common-idds
- https://www.pmi.spglobal.com/Public/Home/PressRelease/a8f02e53a64c42c7bed05c6df7b1a487
- https://apidocs.hkma.gov.hk/abouthkmasapi/"	人口,零售额,PMI,失业率		/Users/liaowang/Desktop/揭榜挂帅需求/cmhk_public_crawl_20260521/results/row_23.json
24	ok	行业资讯	"【行业资讯】
- https://www.digitalpolicy.gov.hk/en/
- https://www.info.gov.hk/gia/general/202506/26/P2025062600269.htm
- https://www.policyaddress.gov.hk/2025/en/highlight.html
- https://www.investhk.gov.hk/en/news/"	跨境贸易,科技创投,人工智能,低空经济,Web3		/Users/liaowang/Desktop/揭榜挂帅需求/cmhk_public_crawl_20260521/results/row_24.json
25	ok	社会资讯	"【社会资讯】
- https://www.info.gov.hk/gia/general/today.htm
- https://www.housingauthority.gov.hk/en/about-us/news-centre/press-releases/index.html"	本地生活咨询		/Users/liaowang/Desktop/揭榜挂帅需求/cmhk_public_crawl_20260521/results/row_25.json
26	ok	香港本地监管,政策	"【香港本地监管】
- https://www.digitalpolicy.gov.hk/en/
- https://www.ofca.gov.hk/en/home/index.html
- https://www.pcpd.org.hk/english/artificial_intelligence/index.html
【政策】
- https://www.digitalpolicy.gov.hk/en/
- https://www.ofca.gov.hk/en/home/index.html
- https://www.pcpd.org.hk/english/artificial_intelligence/index.html"	OFCA政策,频谱/牌照,服务质量,网络安全,PCPD/AI指引,数据跨境		/Users/liaowang/Desktop/揭榜挂帅需求/cmhk_public_crawl_20260521/results/row_26.json
27	partial	重点国家,地区AI与数据监管	"【重点国家】
- https://commission.europa.eu/news-and-media/news/data-act-enters-force-what-it-means-you-2024-01-11_en
- https://commission.europa.eu/law/law-topic/data-protection/data-protection-eu_en
【地区AI与数据监管】
- https://commission.europa.eu/news-and-media/news/data-act-enters-force-what-it-means-you-2024-01-11_en
- https://commission.europa.eu/law/law-topic/data-protection/data-protection-eu_en"	EU Data Act,GDPR/DSA,隐私法规	EU AI Act,新加坡AI治理,重点国家:EU AI Act,新加坡AI治理,地区AI与数据监管:EU AI Act,新加坡AI治理	/Users/liaowang/Desktop/揭榜挂帅需求/cmhk_public_crawl_20260521/results/row_27.json
28	ok	通信监管机构	"【通信监管机构】
- https://www.ofca.gov.hk/en/home/index.html
- https://www.ofca.gov.hk/en/industry_focus/industry_focus/portability/mnp/index.html
- https://www.ofca.gov.hk/en/consumer_focus/guide/general/gba/index.html
- https://www.ofca.gov.hk/en/site_map/index.html
- https://www.enisa.europa.eu/news"	频谱拍卖,5G/6G规划,网络共享,覆盖义务,网络安全,卫星通信,携号转网/漫游		/Users/liaowang/Desktop/揭榜挂帅需求/cmhk_public_crawl_20260521/results/row_28.json
29	ok	国际组织,行业权威机构	"【国际组织】
- https://api.worldbank.org/v2/country/HKG/indicator/NY.GDP.MKTP.CD?format=json&per_page=5
- https://www.gsma.com/newsroom/press-releases/
- https://oecd.ai/
- https://www.itu.int/
【行业权威机构】
- https://api.worldbank.org/v2/country/HKG/indicator/NY.GDP.MKTP.CD?format=json&per_page=5
- https://www.gsma.com/newsroom/press-releases/
- https://oecd.ai/
- https://www.itu.int/"	ITU数字发展,宽带指标,OECD数字经济,World Bank/IMF宏观		/Users/liaowang/Desktop/揭榜挂帅需求/cmhk_public_crawl_20260521/results/row_29.json
30	ok	宏观经济,人口,消费	"【宏观经济】
- https://api.worldbank.org/v2/country/HKG/indicator/NY.GDP.MKTP.CD?format=json&per_page=5
- https://www.censtatd.gov.hk/en/scode200.html
- https://www.censtatd.gov.hk/en/scode460.html
- https://www.info.gov.hk/gia/general/202601/22/P2026012200447p.htm
- https://apidocs.hkma.gov.hk/abouthkmasapi/
【人口】
- https://api.worldbank.org/v2/country/HKG/indicator/NY.GDP.MKTP.CD?format=json&per_page=5
- https://www.censtatd.gov.hk/en/scode200.html
- https://www.censtatd.gov.hk/en/scode460.html
- https://www.info.gov.hk/gia/general/202601/22/P2026012200447p.htm
- https://apidocs.hkma.gov.hk/abouthkmasapi/
【消费】
- https://api.worldbank.org/v2/country/HKG/indicator/NY.GDP.MKTP.CD?format=json&per_page=5
- https://www.censtatd.gov.hk/en/scode200.html
- https://www.censtatd.gov.hk/en/scode460.html
- https://www.info.gov.hk/gia/general/202601/22/P2026012200447p.htm
- https://apidocs.hkma.gov.hk/abouthkmasapi/"	访港旅客,人口,零售,失业率,CPI,利率,汇率		/Users/liaowang/Desktop/揭榜挂帅需求/cmhk_public_crawl_20260521/results/row_30.json
31	ok	行业资讯	"【行业资讯】
- https://www.softbank.jp/en/corp/news/press/sbkk/2026/20260302_03/
- https://www.totaltele.com/
- https://www.mobileworldlive.com/
- https://www.gsma.com/newsroom/press-releases/"	技术动态,市场趋势,企业重大合作,前沿产品		/Users/liaowang/Desktop/揭榜挂帅需求/cmhk_public_crawl_20260521/results/row_31.json
32	partial	行业资讯	"【行业资讯】
- https://www.mobileworldlive.com/
- https://www.totaltele.com/
- https://www.investhk.gov.hk/en/news/
- https://www.verizon.com/about/news/verizon-and-frontier-regulatory-approval"	收购,融资,股权交易	合资,行业资讯:合资	/Users/liaowang/Desktop/揭榜挂帅需求/cmhk_public_crawl_20260521/results/row_32.json
33	ok	政治新闻	"【政治新闻】
- https://english.www.gov.cn/
- https://www.gov.cn/
- https://www.mfa.gov.cn/eng/"	地缘政治,经济,重大政策/声明		/Users/liaowang/Desktop/揭榜挂帅需求/cmhk_public_crawl_20260521/results/row_33.json
34	partial	宏观指标	"【宏观指标】
- https://api.worldbank.org/v2/country/HKG/indicator/NY.GDP.MKTP.CD?format=json&per_page=5
- https://www.censtatd.gov.hk/en/scode200.html
- https://www.stats.gov.cn/english/"	GDP,进出口,失业率	旅游业数据,宏观指标:旅游业数据	/Users/liaowang/Desktop/揭榜挂帅需求/cmhk_public_crawl_20260521/results/row_34.json
