云厂商/口径,公司全称,股票代码,指标,FY2016,FY2017,FY2018,FY2019,FY2020,FY2021,FY2022,FY2023,FY2024,FY2025,单位,披露口径,口径说明,主要来源
China Mobile Cloud,China Mobile Limited,0941.HK / 600941.SS,集团资本开支,,,,,,,,180300 RMB million,164000 RMB million,,RMB million,direct_operator_cloud_revenue_group_capex,中国移动云收入为公司直接披露；CAPEX 为中国移动集团口径，不是云业务单独投入。2025 年公开材料转为“算力服务收入”口径，未与中国移动云全年收入混用。,China Mobile 2024 Annual Report: https://www.chinamobileltd.com/en/ir/reports/ar2024.pdf；China Mobile 2024 Annual Results Announcement: https://www.chinamobileltd.com/en/file/view.php?id=309957；China Mobile 2024 Annual Results Presentation: https://www.chinamobileltd.com/en/ir/webcasts/pre250320.pdf
China Mobile Cloud,China Mobile Limited,0941.HK / 600941.SS,云业务经营利润,,,,,,,,,,,RMB million,direct_operator_cloud_revenue_group_capex,中国移动云收入为公司直接披露；CAPEX 为中国移动集团口径，不是云业务单独投入。2025 年公开材料转为“算力服务收入”口径，未与中国移动云全年收入混用。,China Mobile 2024 Annual Report: https://www.chinamobileltd.com/en/ir/reports/ar2024.pdf；China Mobile 2024 Annual Results Announcement: https://www.chinamobileltd.com/en/file/view.php?id=309957；China Mobile 2024 Annual Results Presentation: https://www.chinamobileltd.com/en/ir/webcasts/pre250320.pdf
Google Cloud,Alphabet Inc.,GOOGL/GOOG,云收入/云相关分部收入,,4056.0 USD million,5838.0 USD million,8918.0 USD million,13059.0 USD million,19206.0 USD million,26280.0 USD million,33088 USD million,43229 USD million,58705 USD million,USD million,direct_segment,Google Cloud 为 Alphabet 直接披露业务分部，收入和经营利润可直接比较。,"Alphabet 2025 Form 10-K, Google Cloud segment table: https://www.sec.gov/Archives/edgar/data/1652044/000165204426000018/goog-20251231.htm；Alphabet Investor Relations SEC filings index: https://abc.xyz/investor/sec-filings/"
Google Cloud,Alphabet Inc.,GOOGL/GOOG,收入同比增长,,,43.9%,52.8%,46.4%,47.1%,36.8%,25.9%,30.6%,35.8%,%,direct_segment,Google Cloud 为 Alphabet 直接披露业务分部，收入和经营利润可直接比较。,"Alphabet 2025 Form 10-K, Google Cloud segment table: https://www.sec.gov/Archives/edgar/data/1652044/000165204426000018/goog-20251231.htm；Alphabet Investor Relations SEC filings index: https://abc.xyz/investor/sec-filings/"
Google Cloud,Alphabet Inc.,GOOGL/GOOG,经营利润/分部经营利润,,,,,-5607.0 USD million,-3099.0 USD million,-2968.0 USD million,1716 USD million,6112 USD million,13910 USD million,USD million,direct_segment,Google Cloud 为 Alphabet 直接披露业务分部，收入和经营利润可直接比较。,"Alphabet 2025 Form 10-K, Google Cloud segment table: https://www.sec.gov/Archives/edgar/data/1652044/000165204426000018/goog-20251231.htm；Alphabet Investor Relations SEC filings index: https://abc.xyz/investor/sec-filings/"
Google Cloud,Alphabet Inc.,GOOGL/GOOG,经营利润率/分部利润率,,,,,-42.9%,-16.1%,-11.3%,5.2%,14.1%,23.7%,%,direct_segment,Google Cloud 为 Alphabet 直接披露业务分部，收入和经营利润可直接比较。,"Alphabet 2025 Form 10-K, Google Cloud segment table: https://www.sec.gov/Archives/edgar/data/1652044/000165204426000018/goog-20251231.htm；Alphabet Investor Relations SEC filings index: https://abc.xyz/investor/sec-filings/"
Google Cloud,Alphabet Inc.,GOOGL/GOOG,集团资本开支,,,,,,,,32251 USD million,52535 USD million,,USD million,direct_segment,Google Cloud 为 Alphabet 直接披露业务分部，收入和经营利润可直接比较。,"Alphabet 2025 Form 10-K, Google Cloud segment table: https://www.sec.gov/Archives/edgar/data/1652044/000165204426000018/goog-20251231.htm；Alphabet Investor Relations SEC filings index: https://abc.xyz/investor/sec-filings/"
Huawei Cloud / Cloud Computing,"Huawei Investment & Holding Co., Ltd.",private,云收入/云相关分部收入,,,,,,,,35514 CNY million,33325 CNY million,32161 CNY million,CNY million,segment_with_reclassification,"华为 2025 年报将 2024 云计算分部收入重述为 33,325 百万元，而 2024 年报原披露 2024 为 38,523 百万元、2023 为 35,514 百万元；跨年趋势必须说明重分类影响。","Huawei 2025 Annual Report, Cloud Computing business segment table: https://www.huawei.com/en/annual-report/2025；Huawei 2024 Annual Report, Cloud Computing business segment table: https://www.huawei.com/en/annual-report/2024；Huawei annual report index: https://www.huawei.com/en/annual-report"
Huawei Cloud / Cloud Computing,"Huawei Investment & Holding Co., Ltd.",private,收入同比增长,,,,,,,,,,-3.5%,%,segment_with_reclassification,"华为 2025 年报将 2024 云计算分部收入重述为 33,325 百万元，而 2024 年报原披露 2024 为 38,523 百万元、2023 为 35,514 百万元；跨年趋势必须说明重分类影响。","Huawei 2025 Annual Report, Cloud Computing business segment table: https://www.huawei.com/en/annual-report/2025；Huawei 2024 Annual Report, Cloud Computing business segment table: https://www.huawei.com/en/annual-report/2024；Huawei annual report index: https://www.huawei.com/en/annual-report"
Huawei Cloud / Cloud Computing,"Huawei Investment & Holding Co., Ltd.",private,含其他分部的云计算业务收入,,,,,,,,,68801 CNY million,72075 CNY million,CNY million,segment_with_reclassification,"华为 2025 年报将 2024 云计算分部收入重述为 33,325 百万元，而 2024 年报原披露 2024 为 38,523 百万元、2023 为 35,514 百万元；跨年趋势必须说明重分类影响。","Huawei 2025 Annual Report, Cloud Computing business segment table: https://www.huawei.com/en/annual-report/2025；Huawei 2024 Annual Report, Cloud Computing business segment table: https://www.huawei.com/en/annual-report/2024；Huawei annual report index: https://www.huawei.com/en/annual-report"
Microsoft Azure / Intelligent Cloud,Microsoft Corporation,MSFT,云收入/云相关分部收入,,,,,,,,72944 USD million,87464 USD million,106265 USD million,USD million,official_proxy_segment,Intelligent Cloud 包含 Azure、服务器产品、企业服务等；Server products and cloud services 更接近 Azure/服务器云收入，但仍不是 Azure 单独收入。,"Microsoft 2025 Annual Report, segment and product revenue tables: https://www.microsoft.com/investor/reports/ar25/index.html；Microsoft Investor Relations annual reports index: https://www.microsoft.com/en-us/investor/annual-reports"
Microsoft Azure / Intelligent Cloud,Microsoft Corporation,MSFT,Intelligent Cloud收入（旧分部口径）,,27440.0 USD million,32219.0 USD million,38985.0 USD million,48366.0 USD million,60080.0 USD million,75251.0 USD million,87907.0 USD million,105362.0 USD million,106265.0 USD million,USD million,official_proxy_segment,Intelligent Cloud 包含 Azure、服务器产品、企业服务等；Server products and cloud services 更接近 Azure/服务器云收入，但仍不是 Azure 单独收入。,"Microsoft 2025 Annual Report, segment and product revenue tables: https://www.microsoft.com/investor/reports/ar25/index.html；Microsoft Investor Relations annual reports index: https://www.microsoft.com/en-us/investor/annual-reports"
Microsoft Azure / Intelligent Cloud,Microsoft Corporation,MSFT,服务器产品和云服务收入,,,,,,,,65007 USD million,79828 USD million,98435 USD million,USD million,official_proxy_segment,Intelligent Cloud 包含 Azure、服务器产品、企业服务等；Server products and cloud services 更接近 Azure/服务器云收入，但仍不是 Azure 单独收入。,"Microsoft 2025 Annual Report, segment and product revenue tables: https://www.microsoft.com/investor/reports/ar25/index.html；Microsoft Investor Relations annual reports index: https://www.microsoft.com/en-us/investor/annual-reports"
Microsoft Azure / Intelligent Cloud,Microsoft Corporation,MSFT,收入同比增长,,,,,,,,,19.9%,21.5%,%,official_proxy_segment,Intelligent Cloud 包含 Azure、服务器产品、企业服务等；Server products and cloud services 更接近 Azure/服务器云收入，但仍不是 Azure 单独收入。,"Microsoft 2025 Annual Report, segment and product revenue tables: https://www.microsoft.com/investor/reports/ar25/index.html；Microsoft Investor Relations annual reports index: https://www.microsoft.com/en-us/investor/annual-reports"
Microsoft Azure / Intelligent Cloud,Microsoft Corporation,MSFT,经营利润/分部经营利润,,,,,,,,28411 USD million,37813 USD million,44589 USD million,USD million,official_proxy_segment,Intelligent Cloud 包含 Azure、服务器产品、企业服务等；Server products and cloud services 更接近 Azure/服务器云收入，但仍不是 Azure 单独收入。,"Microsoft 2025 Annual Report, segment and product revenue tables: https://www.microsoft.com/investor/reports/ar25/index.html；Microsoft Investor Relations annual reports index: https://www.microsoft.com/en-us/investor/annual-reports"
Microsoft Azure / Intelligent Cloud,Microsoft Corporation,MSFT,Intelligent Cloud经营利润（旧分部口径）,,9138.0 USD million,11524.0 USD million,13920.0 USD million,18324.0 USD million,26126.0 USD million,32721.0 USD million,37884.0 USD million,49584.0 USD million,44589.0 USD million,USD million,official_proxy_segment,Intelligent Cloud 包含 Azure、服务器产品、企业服务等；Server products and cloud services 更接近 Azure/服务器云收入，但仍不是 Azure 单独收入。,"Microsoft 2025 Annual Report, segment and product revenue tables: https://www.microsoft.com/investor/reports/ar25/index.html；Microsoft Investor Relations annual reports index: https://www.microsoft.com/en-us/investor/annual-reports"
Microsoft Azure / Intelligent Cloud,Microsoft Corporation,MSFT,经营利润率/分部利润率,,,,,,,,38.9%,43.2%,42.0%,%,official_proxy_segment,Intelligent Cloud 包含 Azure、服务器产品、企业服务等；Server products and cloud services 更接近 Azure/服务器云收入，但仍不是 Azure 单独收入。,"Microsoft 2025 Annual Report, segment and product revenue tables: https://www.microsoft.com/investor/reports/ar25/index.html；Microsoft Investor Relations annual reports index: https://www.microsoft.com/en-us/investor/annual-reports"
Microsoft Azure / Intelligent Cloud,Microsoft Corporation,MSFT,集团资本开支,,,,,,,,28107 USD million,44477 USD million,,USD million,official_proxy_segment,Intelligent Cloud 包含 Azure、服务器产品、企业服务等；Server products and cloud services 更接近 Azure/服务器云收入，但仍不是 Azure 单独收入。,"Microsoft 2025 Annual Report, segment and product revenue tables: https://www.microsoft.com/investor/reports/ar25/index.html；Microsoft Investor Relations annual reports index: https://www.microsoft.com/en-us/investor/annual-reports"
Oracle Cloud,Oracle Corporation,ORCL,云收入/云相关分部收入,,,,,,,,15881 USD million,19774 USD million,24506 USD million,USD million,direct_product_line_and_segment,Oracle 直接披露 Cloud services 产品线收入；Cloud and license 分部利润包含云服务、许可证支持和本地许可证。,"Oracle FY2025 Form 10-K, cloud services and cloud/license tables: https://www.sec.gov/Archives/edgar/data/1341439/000095017025087926/orcl-20250531.htm；Oracle Investor Relations SEC filings index: https://investor.oracle.com/sec-filings/default.aspx"
Oracle Cloud,Oracle Corporation,ORCL,云服务与许可证支持收入,,,,,,,,35307 USD million,39383 USD million,44029 USD million,USD million,direct_product_line_and_segment,Oracle 直接披露 Cloud services 产品线收入；Cloud and license 分部利润包含云服务、许可证支持和本地许可证。,"Oracle FY2025 Form 10-K, cloud services and cloud/license tables: https://www.sec.gov/Archives/edgar/data/1341439/000095017025087926/orcl-20250531.htm；Oracle Investor Relations SEC filings index: https://investor.oracle.com/sec-filings/default.aspx"
Oracle Cloud,Oracle Corporation,ORCL,云与许可证收入,,,,,,,,41086 USD million,44464 USD million,49230 USD million,USD million,direct_product_line_and_segment,Oracle 直接披露 Cloud services 产品线收入；Cloud and license 分部利润包含云服务、许可证支持和本地许可证。,"Oracle FY2025 Form 10-K, cloud services and cloud/license tables: https://www.sec.gov/Archives/edgar/data/1341439/000095017025087926/orcl-20250531.htm；Oracle Investor Relations SEC filings index: https://investor.oracle.com/sec-filings/default.aspx"
Oracle Cloud,Oracle Corporation,ORCL,收入同比增长,,,,,,,,,24.5%,23.9%,%,direct_product_line_and_segment,Oracle 直接披露 Cloud services 产品线收入；Cloud and license 分部利润包含云服务、许可证支持和本地许可证。,"Oracle FY2025 Form 10-K, cloud services and cloud/license tables: https://www.sec.gov/Archives/edgar/data/1341439/000095017025087926/orcl-20250531.htm；Oracle Investor Relations SEC filings index: https://investor.oracle.com/sec-filings/default.aspx"
Oracle Cloud,Oracle Corporation,ORCL,经营利润率/分部利润率,,,,,,,,63.6%,64.1%,62.8%,%,direct_product_line_and_segment,Oracle 直接披露 Cloud services 产品线收入；Cloud and license 分部利润包含云服务、许可证支持和本地许可证。,"Oracle FY2025 Form 10-K, cloud services and cloud/license tables: https://www.sec.gov/Archives/edgar/data/1341439/000095017025087926/orcl-20250531.htm；Oracle Investor Relations SEC filings index: https://investor.oracle.com/sec-filings/default.aspx"
Oracle Cloud,Oracle Corporation,ORCL,云与许可证分部利润,,,,,,,,26126 USD million,28514 USD million,30930 USD million,USD million,direct_product_line_and_segment,Oracle 直接披露 Cloud services 产品线收入；Cloud and license 分部利润包含云服务、许可证支持和本地许可证。,"Oracle FY2025 Form 10-K, cloud services and cloud/license tables: https://www.sec.gov/Archives/edgar/data/1341439/000095017025087926/orcl-20250531.htm；Oracle Investor Relations SEC filings index: https://investor.oracle.com/sec-filings/default.aspx"
Oracle Cloud,Oracle Corporation,ORCL,集团资本开支,,,,,,,,8695 USD million,6866 USD million,,USD million,direct_product_line_and_segment,Oracle 直接披露 Cloud services 产品线收入；Cloud and license 分部利润包含云服务、许可证支持和本地许可证。,"Oracle FY2025 Form 10-K, cloud services and cloud/license tables: https://www.sec.gov/Archives/edgar/data/1341439/000095017025087926/orcl-20250531.htm；Oracle Investor Relations SEC filings index: https://investor.oracle.com/sec-filings/default.aspx"
Tencent Cloud / Tencent FBS proxy,Tencent Holdings Limited,0700.HK,代理分部收入,,,,101355.0 RMB million,128086.0 RMB million,172195.0 RMB million,177064.0 RMB million,203763 RMB million,211956 RMB million,229435 RMB million,RMB million,proxy_segment,腾讯未单独披露 Tencent Cloud 收入；以下采用 FinTech and Business Services 代理分部，含金融科技、企业服务、微信生态服务和云，不能视作纯云收入。,"Tencent Holdings 2025 Annual Report, FinTech and Business Services tables: https://static.www.tencent.com/uploads/2026/04/09/62d786fcf3d3c8cb7e54791ee95439ac.pdf；Tencent Holdings 2024 Annual Report, FinTech and Business Services tables: https://static.www.tencent.com/uploads/2025/04/08/1132b72b565389d1b913aea60a648d73.pdf；Tencent Investor Relations financial reports index: https://www.tencent.com/investors/financial-reports/"
Tencent Cloud / Tencent FBS proxy,Tencent Holdings Limited,0700.HK,收入同比增长,,,,,26.4%,34.4%,2.8%,15.1%,4.0%,8.2%,%,proxy_segment,腾讯未单独披露 Tencent Cloud 收入；以下采用 FinTech and Business Services 代理分部，含金融科技、企业服务、微信生态服务和云，不能视作纯云收入。,"Tencent Holdings 2025 Annual Report, FinTech and Business Services tables: https://static.www.tencent.com/uploads/2026/04/09/62d786fcf3d3c8cb7e54791ee95439ac.pdf；Tencent Holdings 2024 Annual Report, FinTech and Business Services tables: https://static.www.tencent.com/uploads/2025/04/08/1132b72b565389d1b913aea60a648d73.pdf；Tencent Investor Relations financial reports index: https://www.tencent.com/investors/financial-reports/"
Tencent Cloud / Tencent FBS proxy,Tencent Holdings Limited,0700.HK,代理分部毛利,,,,,,,,80636 RMB million,99701 RMB million,116616 RMB million,RMB million,proxy_segment,腾讯未单独披露 Tencent Cloud 收入；以下采用 FinTech and Business Services 代理分部，含金融科技、企业服务、微信生态服务和云，不能视作纯云收入。,"Tencent Holdings 2025 Annual Report, FinTech and Business Services tables: https://static.www.tencent.com/uploads/2026/04/09/62d786fcf3d3c8cb7e54791ee95439ac.pdf；Tencent Holdings 2024 Annual Report, FinTech and Business Services tables: https://static.www.tencent.com/uploads/2025/04/08/1132b72b565389d1b913aea60a648d73.pdf；Tencent Investor Relations financial reports index: https://www.tencent.com/investors/financial-reports/"
Tencent Cloud / Tencent FBS proxy,Tencent Holdings Limited,0700.HK,代理分部毛利率,,,,,,,,40.0%,47.0%,51.0%,%,proxy_segment,腾讯未单独披露 Tencent Cloud 收入；以下采用 FinTech and Business Services 代理分部，含金融科技、企业服务、微信生态服务和云，不能视作纯云收入。,"Tencent Holdings 2025 Annual Report, FinTech and Business Services tables: https://static.www.tencent.com/uploads/2026/04/09/62d786fcf3d3c8cb7e54791ee95439ac.pdf；Tencent Holdings 2024 Annual Report, FinTech and Business Services tables: https://static.www.tencent.com/uploads/2025/04/08/1132b72b565389d1b913aea60a648d73.pdf；Tencent Investor Relations financial reports index: https://www.tencent.com/investors/financial-reports/"
